run_label,scenario,seed,device,sim_time_ms,utilization_fraction
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,350.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,350.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,350.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,350.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,375.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,375.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,375.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,375.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,375.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,400.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,400.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,400.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,400.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,400.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,425.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,425.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,425.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,425.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,425.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,450.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,450.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,450.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,450.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,450.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,475.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,475.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,475.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,475.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,475.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,500.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,500.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,500.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,500.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,500.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,525.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,525.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,525.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,525.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,525.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,550.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,550.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,550.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,550.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,550.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,575.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,575.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,575.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,575.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,575.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,600.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,600.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,600.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,600.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,600.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,625.000,0.040000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,625.000,0.000000
